num_of_flights,code,carrier,cities,cancellationcodes
22792,MQ,American Eagle Airlines Inc.,"Santa Barbara, Los Angeles, San Diego, Fresno, Las Vegas, San Jose, San Luis Obispo, Santa Ana, Fayetteville/Springdale/Rogers, San Francisco, Killeen, Dallas-Fort Worth, Alexandria, Wichita Falls, College Station, Tyler, Longview, Abilene, Lafayette, Waco, Texarkana, Shreveport, Lawton, Monroe, Kansas City, Dallas, Valparaiso, Austin, Little Rock, Fort Smith, Cedar Rapids, Baton Rouge, Houston, Columbia, San Angelo, Mobile, Wichita, Amarillo, Corpus Christi, Covington, Charleston, Huntsville, Pittsburgh, Lubbock, Jackson, Lexington, Oklahoma City, Pensacola, Midland, Rochester, Cleveland, Springfield, Madison, Des Moines, Fort Wayne, Laredo, Syracuse, Miami, Chicago, Omaha, New York, Bloomington, Peoria, Baltimore, Dayton, Flint, Birmingham, Moline, Norfolk, Milwaukee, Richmond, Evansville, Indianapolis, Providence, Columbus, Grand Rapids, Charlotte, Champaign/Urbana, Dubuque, La Crosse, Kalamazoo, Windsor Locks, Memphis, Nashville, Greensboro, Toledo, Chattanooga, Green Bay, Louisville, NA, White Plains, Atlanta, Detroit, Raleigh, Boston, Arlington, Bangor, Newark, Jacksonville, St Louis, San Antonio, Gulfport-Biloxi, Knoxville, Tulsa, Harrisburg, Greer, Savannah, Montrose, Buffalo, Colorado Springs, Traverse City, Chantilly, Newburgh, Albany, Monterey, Roswell","A, B, C"
17924,AA,American Airlines Inc.,"New York, San Francisco, Boston, Honolulu, Los Angeles, Dallas-Fort Worth, Chantilly, Chicago, San Diego, Lihue, Reno, Burbank, St Louis, Miami, Arlington, Philadelphia, New Orleans, Denver, Nashville, Charlotte, Minneapolis, Kansas City, Austin, Houston, Colorado Springs, San Juan, Fresno, Detroit, Ft. Lauderdale, Tulsa, Seattle, San Antonio, Las Vegas, San Jose, Newark, Atlanta, McAllen, Raleigh, El Paso, Memphis, Santa Ana, Wichita, Portland, Orlando, Dayton, Tucson, Christiansted, Indianapolis, Salt Lake City, Albuquerque, Fayetteville/Springdale/Rogers, Oklahoma City, Sacramento, Phoenix, Norfolk, West Palm Beach, Ft. Myers, Tampa, Columbus, Omaha, Ontario, Palm Springs, Huntsville, Richmond, Jacksonville, Birmingham, Oakland, Baltimore, Louisville, Kahului, Windsor Locks, Kailua/Kona, Greensboro, Eagle, Charlotte Amalie, Jackson, Dallas, Montrose, Hayden, Gunnison, Anchorage","A, C, B"
14186,OO,Skywest Airlines Inc.,"Arcata/Eureka, Sacramento, Modesto, Chicago, South Bend, Des Moines, Detroit, Los Angeles, San Diego, San Francisco, Monterey, Reno, Milwaukee, Moline, Denver, Appleton, Madison, Peoria, Kalamazoo, Mosinee, Cody, Salt Lake City, Rapid City, Billings, Kalispell, Houston, Louisville, Grand Rapids, Charleston, Colorado Springs, Montrose, San Jose, Phoenix, Great Falls, Bozeman, Memphis, Atlanta, Crescent City, Lansing, Cedar Rapids, Dayton, Syracuse, Covington, Allentown, Fargo, Wichita, Knoxville, Aspen, Hayden, Akron, Fayetteville/Springdale/Rogers, Burlington, Traverse City, Springfield, Roanoke, Cleveland, Lexington, Lincoln, Indianapolis, Omaha, Green Bay, Tulsa, Austin, Redmond, Yuma, Imperial, Ontario, Durango, Norfolk, Fort Wayne, Butte, Spokane, Portland, Medford, Seattle, Grand Junction, Casper, Sioux Falls, Hailey, Boise, Tucson, Bellingham, Bakersfield, San Luis Obispo, Palm Springs, Oklahoma City, Columbus, Idaho Falls, Savannah, Inyokern, Las Vegas, Missoula, Santa Barbara, Fresno, Burbank, Rockford, Albuquerque, Redding, El Paso, Long Beach, Twin Falls, Santa Ana, Eugene, St George, Saginaw, Dallas-Fort Worth, Kansas City, Philadelphia, Nashville, Chico, Pittsburgh, Birmingham, Santa Maria, Pasco, Helena, San Antonio, Oakland, Minneapolis, NA, Bismarck, Oxnard, Jackson, White Plains, Ft. Lauderdale, Elko, Greer, Newark, Windsor Locks, Charlotte, Baltimore, Huntsville, West Yellowstone, Little Rock, Greensboro, Pocatello, Palmdale, Jacksonville, Yakima, Lewiston, Raleigh, Salem, St Louis, New Orleans, Wilkes-Barre/Scranton, Gunnison, Buffalo","A, C, B, D"
11929,UA,United Air Lines Inc.,"Kahului, Honolulu, Los Angeles, Kailua/Kona, Santa Ana, Grand Rapids, San Francisco, Burbank, San Jose, Chicago, Omaha, Oklahoma City, Chantilly, Boston, Seattle, Baltimore, Jackson, Dallas-Fort Worth, Columbus, Denver, New York, Providence, Windsor Locks, Buffalo, Portland, San Diego, Detroit, Atlanta, San Antonio, Minneapolis, Orlando, Kansas City, Raleigh, Austin, Rochester, Charlotte, Philadelphia, Covington, Salt Lake City, Newark, Oakland, Pittsburgh, Arlington, Albany, Anchorage, Cleveland, Dayton, Tulsa, Richmond, Wichita, Houston, Tampa, Ontario, Phoenix, Las Vegas, New Orleans, San Juan, Lihue, St Louis, Spokane, Reno, Des Moines, Boise, Manchester, Indianapolis, Sacramento, Eagle, Albuquerque, Burlington, Billings, Ft. Lauderdale, Harrisburg, Greensboro, Tucson, Miami, West Palm Beach, Palm Springs, Hayden, Montrose, Ft. Myers, Jacksonville, Charlotte Amalie","A, C, B"
11287,YV,Mesa Airlines Inc.,"Denver, Gunnison, Lansing, Las Vegas, Medford, Phoenix, Nashville, Columbia, Cleveland, Charlotte, Des Moines, Green Bay, Greensboro, Chantilly, Long Beach, Memphis, Madison, Chicago, Savannah, Santa Barbara, South Bend, San Jose, Tucson, Aspen, Huntsville, Burbank, Flagstaff, Grand Junction, Wichita, Los Angeles, Sacramento, Yuma, Atlanta, Boston, San Luis Obispo, Appleton, Honolulu, Hilo, Jacksonville, Lihue, Kansas City, Kahului, Norfolk, Raleigh, San Antonio, Austin, Bakersfield, Houston, Kailua/Kona, Monterey, Albuquerque, Cody, Reno, Birmingham, Akron, NA, New York, Allentown, Bloomington, Salt Lake City, Casper, San Francisco, Baltimore, Wilmington, Springfield, Little Rock, Rapid City, Charleston, Detroit, Eagle, Fresno, Greer, Philadelphia, Pittsburgh, Newark, Oakland, Wilkes-Barre/Scranton, Buffalo, Fort Wayne, Portland, Traverse City, Mosinee, Saginaw, Roanoke, Dallas-Fort Worth, Manchester, Hayden, Sarasota, Cedar Rapids, Rochester, Palm Springs, Myrtle Beach, Pensacola, Windsor Locks, Oklahoma City, Durango, Indianapolis, El Paso, Eugene, New Orleans, Sioux Falls, Harrisburg, Providence, Santa Ana, Columbus, Syracuse, Jackson, Richmond, Montrose, Moline, Colorado Springs, Seattle, San Diego, Boise, St Louis, Minneapolis, Ontario, Albany, Telluride, Grand Rapids, Daytona Beach","B, A, C, D"
10800,XE,Expressjet Airlines Inc.,"Arlington, Newark, Chantilly, Spokane, Rochester, Houston, Kansas City, Chicago, Oklahoma City, Omaha, Dallas, Minneapolis, McAllen, Little Rock, Colorado Springs, Charlotte, Memphis, Philadelphia, Montgomery, Providence, Louisville, Syracuse, Cleveland, Dallas-Fort Worth, Tulsa, Gulfport-Biloxi, Manchester, Charleston, Columbia, Jackson, Milwaukee, Windsor Locks, Detroit, Albany, Pittsburgh, Greer, Birmingham, Wichita, Portland, Jacksonville, Fayetteville/Springdale/Rogers, Laredo, Covington, Richmond, Dayton, Lake Charles, Nashville, Greensboro, Lafayette, Knoxville, Baton Rouge, Buffalo, St Louis, Columbus, Indianapolis, Norfolk, Huntsville, Mobile, Lubbock, Los Angeles, Las Vegas, San Diego, San Jose, Phoenix, Oakland, Ontario, Monterey, Asheville, Monroe, Raleigh, Midland, Brownsville, New York, Tucson, Burlington, Killeen, Atlanta, Baltimore, Savannah, Boise, El Paso, Boston, Fresno, Grand Rapids, New Orleans, Sacramento, Shreveport, Albuquerque, Santa Barbara, San Francisco, Sarasota, Alexandria, Madison, Lexington, Bangor, Harlingen, College Station, Corpus Christi, Pensacola, Des Moines, White Plains, Allentown, Harrisburg, Amarillo, Beaumont/Port Arthur, Austin, Salt Lake City, Daytona Beach, San Antonio, Reno, Denver, Long Beach, Tallahassee, West Palm Beach, Billings, Rapid City, Eugene, Seattle, Ft. Myers, Bakersfield, Nantucket, Hayden, Valparaiso, Miami, Chattanooga, Kalispell, Orlando, Palm Springs","C, B, A"
9993,WN,Southwest Airlines Co.,"Providence, Reno, Tampa, Burbank, Baltimore, Dallas, Houston, Chantilly, Las Vegas, Los Angeles, Kansas City, Orlando, Chicago, Oakland, Philadelphia, Phoenix, Raleigh, San Diego, San Antonio, Sacramento, Denver, Lubbock, Omaha, Salt Lake City, Santa Ana, Louisville, Oklahoma City, Albuquerque, Buffalo, Ft. Lauderdale, Jacksonville, Tulsa, Amarillo, El Paso, Harlingen, San Jose, St Louis, Austin, Nashville, Cleveland, Islip, Windsor Locks, Detroit, Portland, Manchester, Ontario, Seattle, Spokane, Corpus Christi, Norfolk, New Orleans, Pittsburgh, Ft. Myers, Columbus, West Palm Beach, Birmingham, Jackson, Boise, Little Rock, Midland, San Francisco, Tucson, Indianapolis, Albany","B, A, D, C"
8942,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),"Kailua/Kona, San Jose, Los Angeles, Orlando, Las Vegas, Omaha, Phoenix, Santa Ana, Burbank, San Diego, Austin, Minneapolis, Chicago, San Francisco, St Louis, Dallas-Fort Worth, Philadelphia, Oakland, Arlington, Salt Lake City, Denver, Detroit, Boston, Sacramento, Reno, Albuquerque, Tucson, Seattle, Jacksonville, Manchester, Tampa, New York, Charlotte, New Orleans, Savannah, Windsor Locks, Indianapolis, Allentown, Buffalo, Newark, Pittsburgh, Baltimore, West Palm Beach, Providence, Cleveland, Kansas City, Raleigh, Albany, San Juan, Ontario, Atlanta, Chantilly, Portland, Columbus, Lihue, Honolulu, Ft. Lauderdale, Kahului, Anchorage, El Paso, Houston, Milwaukee, San Antonio, Miami, Charleston, Norfolk, Richmond, Ft. Myers, Charlotte Amalie, Myrtle Beach, Nashville, Harrisburg, Syracuse, Sarasota, Rochester, Burlington, Boise, Wilmington, Fresno, Spokane","A, B, C"
8920,EV,Atlantic Southeast Airlines,"Atlanta, Gainesville, Portland, Akron, Oklahoma City, Fayetteville, NA, Daytona Beach, Covington, Mobile, Baton Rouge, Charleston, Harrisburg, Cleveland, Tulsa, Arlington, Jackson, Fort Wayne, Albany, Sarasota, Asheville, Flint, Bristol, Greer, Columbia, Valparaiso, Pensacola, Moline, Peoria, Tallahassee, Wilkes-Barre/Scranton, Omaha, Cedar Rapids, Wichita, Huntsville, Louisville, Knoxville, Columbus, Newburgh, Dayton, Alexandria, Gulfport-Biloxi, Fayetteville/Springdale/Rogers, Grand Rapids, Valdosta, Augusta, Minneapolis, White Plains, Chattanooga, Des Moines, Myrtle Beach, Roanoke, Macon, Greensboro, Manchester, Shreveport, Panama City, Rochester, Green Bay, Birmingham, Montgomery, Richmond, Brunswick, San Antonio, St Louis, Atlantic City, Burlington, Newport News, Syracuse, Norfolk, Milwaukee, Detroit, Pinehurst/Southern Pines, Bloomington, Boston, Austin, Pittsburgh, Jacksonville, Toledo, Charlottesville, Savannah, Newark, Houston, Lafayette, Florence, Providence, New York, Buffalo, Tupelo, Nashville, Memphis, Allentown, New Orleans, Chicago, Monroe, Indianapolis, Dallas-Fort Worth, Salt Lake City, Denver, Appleton, Bangor, Oakland, Little Rock, South Bend, Springfield, Lynchburg, Dothan, Madison, Sacramento, Los Angeles, Islip, Las Vegas, San Francisco, Erie, Kinston, Boise, Corpus Christi, Melbourne, Naples, Sioux Falls, Wilmington, McAllen, Lexington, Key West, Pasco, Killeen, Binghamton, Evansville, Charlotte, Meridian, Columbus-Starkville-West Point, Palm Springs, Chantilly, Reno, Kansas City, Raleigh, Kalamazoo, Lansing, New Bern, Fort Smith, Huntington, Windsor Locks, Baltimore, Philadelphia, Lewisburg, Marathon","A, C, B"
8851,OH,Comair Inc.,"New York, Covington, Cedar Rapids, Pittsburgh, Memphis, Jacksonville, Richmond, Detroit, Nashville, Rochester, Cleveland, Raleigh, St Louis, Chicago, Columbus, Portland, Arlington, Greer, Baltimore, Milwaukee, Windsor Locks, Charlotte, Burlington, Greensboro, Philadelphia, Grand Rapids, Charleston, Birmingham, Savannah, Syracuse, Atlanta, Boston, Manchester, Louisville, Providence, Bangor, Newark, Appleton, Baton Rouge, Allentown, Des Moines, Knoxville, Oklahoma City, Springfield, Dayton, Tulsa, Lexington, Akron, Ft. Myers, Kansas City, White Plains, Jackson, Harrisburg, Norfolk, Albany, Buffalo, Austin, Dallas-Fort Worth, Green Bay, Huntsville, Minneapolis, Daytona Beach, San Antonio, Omaha, Sioux Falls, Pensacola, New Orleans, Kalamazoo, Chantilly, Trenton, Newport News, West Palm Beach, Indianapolis, Charlottesville, Chattanooga, Ft. Lauderdale, Wilkes-Barre/Scranton, NA, Miami, Orlando, Atlantic City, Denver, Little Rock, Roanoke, Melbourne, Madison, Colorado Springs, Houston, Lansing, Myrtle Beach, Huntington, South Bend, Sarasota, Columbia, Asheville, Wilmington, Bristol, Tampa, Tallahassee, Binghamton","A, B, C, D"
7939,9E,Pinnacle Airlines Inc.,"Des Moines, Minneapolis, Shreveport, Cleveland, Duluth, Appleton, Rochester, Asheville, Traverse City, Harrisburg, Dayton, NA, Pittsburgh, Allentown, Austin, Detroit, Bangor, Binghamton, Indianapolis, Windsor Locks, Arlington, Oklahoma City, Portland, Columbia, Burlington, Lexington, Tulsa, Hancock, Sioux City, Jackson, Helena, New York, Idaho Falls, Green Bay, Boston, Kansas City, Philadelphia, Chantilly, Lincoln, Moline, Little Rock, Madison, Norfolk, Richmond, Memphis, Montgomery, Fort Smith, Louisville, Tallahassee, Birmingham, Raleigh, Evansville, Charleston, Dallas-Fort Worth, Pensacola, Denver, White Plains, Akron, Kalamazoo, Elmira, South Bend, Springfield, Huntsville, St Louis, Greensboro, Mobile, Newburgh, Covington, Pellston, Bismarck, Rhinelander, Fayetteville/Springdale/Rogers, Knoxville, Wilkes-Barre/Scranton, Greer, Chattanooga, Cedar Rapids, Mosinee, Waterloo, Omaha, Wichita, Houston, Grand Rapids, Fort Wayne, Flint, Roanoke, Jacksonville, Columbus, Casper, Fargo, International Falls, Saginaw, Peoria, Kalispell, Ft. Lauderdale, La Crosse, Bemidji, Grand Forks, Albany, Nashville, Panama City, Manchester, Baltimore, Erie, Lansing, Rapid City, Gulfport-Biloxi, Baton Rouge, Myrtle Beach, Sioux Falls, Savannah, Great Falls, Ft. Myers, Charlotte, Eau Claire, Salt Lake City, Bozeman, Buffalo","A, B, C, D"
7814,NW,Northwest Airlines Inc.,"New York, Minneapolis, Chicago, Seattle, Nashville, San Jose, Memphis, Detroit, Traverse City, Kansas City, Arlington, Grand Rapids, Boston, Las Vegas, Philadelphia, Gulfport-Biloxi, Dallas-Fort Worth, Orlando, Atlanta, Tampa, Fargo, Indianapolis, Newark, Columbus, Los Angeles, Rochester, Grand Forks, Omaha, Madison, Baton Rouge, Houston, Denver, Lansing, Portland, New Orleans, Saginaw, Baltimore, Duluth, Birmingham, Milwaukee, Bismarck, Syracuse, Chantilly, Valparaiso, Norfolk, St Louis, Louisville, Charlotte, Jacksonville, Raleigh, Kalamazoo, Flint, Green Bay, Sioux Falls, Cleveland, Pittsburgh, Richmond, Harrisburg, Phoenix, Minot, Santa Ana, San Diego, San Francisco, Ft. Lauderdale, Little Rock, Buffalo, Sacramento, Des Moines, Rapid City, Spokane, Providence, Albuquerque, Manchester, Salt Lake City, La Crosse, Tucson, West Palm Beach, Miami, San Antonio, Billings, Windsor Locks, Bozeman, Missoula, Albany, Austin, Cedar Rapids, Honolulu, Kailua/Kona, Kahului, Great Falls, Kalispell, Eagle, Oklahoma City, Greer, Colorado Springs, Hayden, Savannah, Ft. Myers, Myrtle Beach, Sarasota, Anchorage, Boise","C, A, B"
